title,num_citations,year,excerpt,url,url_pdf,indicator,key_words,doi,authors,issued,abstract,link,is_referenced_by_count
Life cycle assessment of a cross laminated timber building,84,2013.0,"… performance associated with the production of the materials, along with HVAC and lighting systems, and associated operation and end-of-life of this novel building, using a …",https://research-repository.rmit.edu.au/articles/report/Life_cycle_assessment_of_a_cross_laminated_timber_building/27346623,,0,"life cycle assessment, lighting",10.13052/rp-9788792982230,Anne Kirkegaard Bejder,2013,,http://riverpublishers.com/pdf/ebook/RP_978-87-92982-23-0.pdf,2
Life cycle assessment of off-grid lighting applications: Kerosene vs. solar lanterns,2,2009.0,"… -based kerosene lighting is the most common solution to lighting … Life cycle assessments examine the energy required and the … -to-user"" life cycle assessment of the lighting options are …",https://dspace.mit.edu/handle/1721.1/54450,,0,"life cycle assessment, lighting",10.1016/j.renene.2009.06.016,Brian Fleck; Marc Huot,2009-12,,https://api.elsevier.com/content/article/PII:S0960148109002894?httpAccept=text/xml,104
Life-cycle assessment of office buildings in Europe and the United States,491,2006.0,"… presents life-cycle assessments of newly constructed European and US office buildings from materials production through construction, use, and maintenance to end-of-life … Lighting and …",https://ascelibrary.org/doi/abs/10.1061/(ASCE)1076-0342(2006)12:1(10),,0,"life cycle assessment, lighting",10.1061/(asce)1076-0342(2006)12:1(10),Seppo Junnila; Arpad Horvath; Angela Acree Guggemos,2006-3,,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%291076-0342%282006%2912%3A1%2810%29,275
Comparing the embodied carbon and energy of a mass timber structure system to typical steel and concrete alternatives for parking garages,103,2019.0,"… the embodied carbon and energy of different structural systems… few materials or systems, the embodied carbon and energy of … replacement and high recycled content steel are utilized. …",https://www.sciencedirect.com/science/article/pii/S0378778819305134,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1016/j.enbuild.2019.06.047,A. Zeitz; C.T. Griffin; P. Dusicka,2019-9,,https://api.elsevier.com/content/article/PII:S0378778819305134?httpAccept=text/xml,73
Mechanical and electrical systems,6,2005.0,"… Further, when we consider how plumbing affects health, and … architect to comprehend plumbing and life safety systems, and … inspection, service, repair, and replacement of appliances. …","https://books.google.com/books?hl=en&lr=&id=PmRWeNX6nlIC&oi=fnd&pg=PR5&dq=replacement+embodied+carbon,+mechanical+electrical+plumbing+systems&ots=RVt4iAhxzV&sig=JTeDcWID6xT-Vng0cGDsd7e1f0U",,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1115/imece2005-82277,G. A. Adebiyi,2005-1-1,"<jats:p>A combined electrical/mechanical and thermal power generating system is undoubtedly the way to go for optimum overall efficiency in energy conversion. Traditionally, electric power is generated in centralized power stations and subsequently supplied to consumers via extensive grid distribution networks. Waste heat is a by-product that cannot inexpensively be conveyed to meet the demand for thermal power in the communities served. Consequently, the needed thermal power is produced either using the high grade electricity delivered from the grid supply, or by combustion of expensive fuels such as natural gas and oil. Cogeneration and CHP (Cooling, Heating, and Power) systems are designed to utilize waste heat from in-house electrical/mechanical power producing devices such as micro turbines and diesel engines used in industries that are located in the community or district. The generation of mechanical and thermal power from a single fuel input significantly enhances the overall conversion efficiency, which translates to lower CO2 emissions to the environment. Greater stability and reliability in power supply at the community level is achieved via the deployment of CHP systems that provide power on the required scale as well as meet local demand for cooling and/or heating. The magnitude of efficiency gain for CHP systems is often overstated simply because the quality difference between electrical/mechanical power and thermal power is not factored into the equation. This paper focuses on a complete thermodynamic analysis of CHP systems on the basis of the first and second laws of thermodynamics.</jats:p>",http://asmedigitalcollection.asme.org/IMECE/proceedings-pdf/doi/10.1115/IMECE2005-82277/4558181/517_1.pdf,1
Systematic embodied carbon assessment and reduction of prefabricated high-rise public residential buildings in Hong Kong,136,2019.0,… Embodied carbon from the manufacturing of materials was mainly attributed to … the embodied carbon could be reduced significantly by adopting low carbon concrete such as replacing …,https://www.sciencedirect.com/science/article/pii/S0959652619326514,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1016/j.jclepro.2019.117791,Yue Teng; Wei Pan,2019-11,,https://api.elsevier.com/content/article/PII:S0959652619326514?httpAccept=text/xml,103
Whole life embodied emissions and net-zero emissions potential for a mid-rise office building constructed with mass timber,52,2023.0,… to determine the total embodied carbon emissions for a four-… In addition to a comparative embodied carbon emissions … to offset whole life embodied carbon emissions when evaluated …,https://www.sciencedirect.com/science/article/pii/S2214993722001427,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1016/j.susmat.2022.e00528,Jonah M. Greene; H. Robert Hosanna; Bryan Willson; Jason C. Quinn,2023-4,,https://api.elsevier.com/content/article/PII:S2214993722001427?httpAccept=text/xml,14
Net-zero embodied carbon in buildings with today's available technologies,22,2024.0,"… (18) As with existing studies, (27,28) this study considers only module B1 and does not consider modules B2–B5: maintenance, repair, replacement, and refurbishment. This is because …",https://pubs.acs.org/doi/abs/10.1021/acs.est.3c04618,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1021/acs.est.3c04618,Takuma Watari; Naho Yamashita; André Cabrera Serrenho,2024-1-16,,https://pubs.acs.org/doi/pdf/10.1021/acs.est.3c04618,19
Mechanical and electrical equipment for buildings,863,2019.0,"… Most of the systems presented in this book consume energy and embody materials. Some … , and our approach to mechanical and electrical systems must consider how best to minimize …","https://books.google.com/books?hl=en&lr=&id=kgOqDwAAQBAJ&oi=fnd&pg=PR17&dq=replacement+embodied+carbon,+mechanical+electrical+plumbing+systems&ots=9Lp34XlfH3&sig=LGXeKm8O2LFYDkmfg7_9b7NDQ4s",,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1201/9780429243035-2,Bella H. Chudnovsky,2019-4-24,,,0
A modular framework for estimating carbon emissions from building component replacements in LCA,1,2025.0,"… The replacement of building components (B4 phase) is a significant yet underexplored source of embodied carbon. … A generalized emission equation quantifies carbon from production, …",https://www.sciencedirect.com/science/article/pii/S0378778825011545,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1016/j.enbuild.2025.116424,Zuoming Chen; Stephen Siu Yu Lau; Zhidong Zhang; Sunnie Sing Yeung Lau; Tris Kee,2025-12,,https://api.elsevier.com/content/article/PII:S0378778825011545?httpAccept=text/xml,0
Structural design of hybrid steel-timber buildings for lower production stage embodied carbon emissions,19,2023.0,Using cross laminated timber (CLT) floor panels in combination with steel framing has been identified as a promising new structural configuration that can reduce the embodied …,https://www.sciencedirect.com/science/article/pii/S2352710223012329,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1016/j.jobe.2023.107053,Isaac Becker; Finn Anderson; Adam R. Phillips,2023-10,,https://api.elsevier.com/content/article/PII:S2352710223012329?httpAccept=text/xml,7
Mapping material use and embodied carbon in UK construction,43,2023.0,… analysis shows that the embodied carbon of the UK construction in … embodied carbon in UK construction. We found that almost 100 Mt of materials were used with an embodied carbon …,https://www.sciencedirect.com/science/article/pii/S0921344923001921,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.31224/2441,Michal Drewniok; Jos´e Azevedo; Cyrille Dunant; Julian Allwood; Jonathan Cullen; Tim Ibell; Will Hawkins,2023-1-11,,,2
Modelling the embodied carbon cost of UK domestic building construction: Today to 2050,52,2023.0,"… time, the upfront embodied carbon cost of … embodied carbon cost are then analysed. The results show that maintaining today’s levels of construction will use the remaining 2050 carbon …",https://www.sciencedirect.com/science/article/pii/S092180092200386X,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1016/j.ecolecon.2022.107725,Michał P. Drewniok; Cyrille F. Dunant; Julian M. Allwood; Tim Ibell; Will Hawkins,2023-3,,https://api.elsevier.com/content/article/PII:S092180092200386X?httpAccept=text/xml,38
Carbon emission-based life cycle assessment of rural residential buildings constructed with engineering bamboo: A case study in China,75,2023.0,"… its ability to sequester carbon, resulting in lower carbon emissions during the production phase. Based on the Monte Carlo simulation, the mean life cycle carbon emission for the typical …",https://www.sciencedirect.com/science/article/pii/S2352710223013621,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1016/j.jobe.2023.107182,Yi Liu; Jiajing Zhang; Jinjun Xu; Yu Wang; Baihao Li; Shiqian Zhang,2023-10,,https://api.elsevier.com/content/article/PII:S2352710223013621?httpAccept=text/xml,19
Decarbonization potentials of the embodied energy use and operational process in buildings: A review from the life-cycle perspective,48,2023.0,"… to replace the on-site combustion/electric-… -carbon buildings [26], and Pan and Teng discussed the influences of input variables on the assessment results of building embodied carbon …",https://www.cell.com/heliyon/fulltext/S2405-8440(23)07398-X,,0,"replacement embodied carbon, mechanical electrical plumbing systems",10.1016/j.heliyon.2023.e20190,Yumin Liang; Changqi Li; Zhichao Liu; Xi Wang; Fei Zeng; Xiaolei Yuan; Yiqun Pan,2023-10,,https://api.elsevier.com/content/article/PII:S240584402307398X?httpAccept=text/xml,41
Carbon Emission Accounting for 220 kV Transmission and Transformation Projects Based on a Whole Life Cycle Improvement Method,5,2025.0,… carbon emission coefficient in this paper can be extended to all the carbon emission accounting of power … power deficits in the electrical system [24] to ensure the normal operation of the …,https://www.mdpi.com/1996-1073/18/4/912,,0,"whole life carbon, electrical system",10.3390/en18040912,Chunli Wang; Xian Gao; Houyin Long,2025-2-13,"<jats:p>As an important link and bridge for emission reduction, power grid companies are more willing to build clean power transmission and transformation projects under the “3060” carbon emission target. With this problem at its core, this paper uses a typical 220 kV line and substation in a province as the case data. This study improves the carbon emission measurement method for the entire lifecycle of power transmission and transformation equipment, compiles and summarizes the carbon emission coefficients of each equipment and duration according to different typical scenarios, and measures the carbon emission of power transmission and transformation projects. The results show that the carbon emission of the line is 8169.58 tons, mainly concentrated in materials such as steel, water, concrete, and cement; the carbon emission of the substation is 4483.48 tons, mainly concentrated in materials such as concrete, cement and steel; and the carbon emission of the operation and maintenance stage is 9939.70 tons. The carbon emission coefficient in this paper can be extended to all the carbon emission accounting of power transmission and transformation projects in China.</jats:p>",https://www.mdpi.com/1996-1073/18/4/912/pdf,5
Carbon emissions of power transmission and transformation projects in the whole life cycle for smart sustainable energy systems,15,2024.0,"… carbon-emitting sources, the power system holds the potential to contribute to the development of sustainable energy systems … carbon emissions emanating from PTTP throughout their …",https://www.nature.com/articles/s41598-024-54317-0,,0,"whole life carbon, electrical system",10.1038/s41598-024-54317-0,Zhihui Wang; Long Hu; Xiaojia Huang; Jieren Tan; Kaihui Ye,2024-2-15,"<jats:title>Abstract</jats:title><jats:p>The study investigates the optimization of life cycle carbon emissions in smart sustainable energy systems through power transformation and transmission project power load predictions. Firstly, a multi-task learning-based short-term user load forecasting technique is developed, where the power load curves of multiple residential customers are grouped and classified using the K-means clustering method. Additionally, the Bidirectional Long Short-Term Memory (BiLSTM) technique is introduced to anticipate the power load intelligently. Secondly, a life cycle carbon emission assessment model for the power transmission and transformation project (PTTP) is constructed based on the life cycle assessment (LCA) method, which divides the project's life cycle into four stages: production, installation and construction, operation and maintenance, and demolition. Finally, an experimental evaluation of this model is conducted. The results demonstrate that compared with the baseline model Long Short-Term Memory (LSTM), this model achieves a significantly lower average Mean Absolute Error (MAE) at 3.62% while achieving significantly higher accuracy in power load forecasting at 94.34%. A comprehensive examination of carbon emissions across all four phases reveals that overall carbon emissions are highest during the operation and maintenance stage followed by the equipment production stage and installation/construction stage, with the lowest overall carbon emissions observed. Hence, this study endeavors to forecast power load demand with precision and identify the principal determinants of carbon emissions in power engineering. By discerning and managing these key factors, an optimal, energy-efficient intelligent power load scheme can be derived.</jats:p>",https://www.nature.com/articles/s41598-024-54317-0.pdf,9
Low carbon operation and evaluation methods for integrated energy system counting EVs with whole life cycle considering demand response,9,2024.0,"… total operating cost of the integrated energy system, and taking into account the transferable and curtailing characteristics of the electric … of the integrated energy system considering the …",https://www.sciencedirect.com/science/article/pii/S0960148124015155,,0,"whole life carbon, electrical system",10.1016/j.renene.2024.121447,Chao Liu; Yiwen Fan; Wanshui Yu; Yishi Liu; Chenjia Li; Yongning Chi,2024-12,,https://api.elsevier.com/content/article/PII:S0960148124015155?httpAccept=text/xml,9
Closing the low-carbon material loop using a dynamic whole system approach,79,2017.0,"… systems. In this paper, we analyze the implementation of such processes in the transition to low carbon electricity … Lithium-ion batteries from electric vehicles for grid-attached storage. A …",https://www.sciencedirect.com/science/article/pii/S095965261730392X,,0,"whole life carbon, electrical system",10.1016/j.jclepro.2017.02.166,Jonathan Busch; David Dawson; Katy Roelich,2017-4,,https://api.elsevier.com/content/article/PII:S095965261730392X?httpAccept=text/xml,49
